# i,sizeKi,sizeKip,k,g0Id,|SEP|,KiIds...,|SEP|,KipIds...,|SEP|,reps...
1,4,2,2,4,|SEP|,1 2 3 4,|SEP|,1 3,|SEP|,
2,2,1,2,3,|SEP|,1 3,|SEP|,1,|SEP|,
